time,Yaw,pitch,roll
40.493,167.124,-9.664,-11.434
40.581,167.072,-9.664,-11.434
40.601,167.072,-9.664,-11.434
40.705,166.823,-3.811,-9.469
40.781,166.728,-3.811,-9.469
40.801,166.728,-3.811,-9.469
40.919,167.866,-3.994,-11.17
40.981,167.938,-3.994,-11.17
41,167.938,-3.994,-11.17
41.129,166.065,-9.865,-10.17
41.181,166.571,-9.865,-10.17
41.2,166.571,-9.865,-10.17
41.343,162.923,-11.003,-5.454
41.381,163.269,-11.003,-5.454
41.401,163.269,-11.003,-5.454
41.553,167.172,-6.541,-9.675
41.58,167.018,-6.541,-9.675
41.6,167.018,-6.541,-9.675
41.765,166.732,-2.97,-8.33
41.781,166.322,-2.97,-8.33
41.8,166.322,-2.97,-8.33
41.976,164.994,-0.248,-5.714
41.98,164.861,-0.248,-5.714
42,164.861,-0.248,-5.714
42.181,165.283,-0.248,-5.714
42.189,166.738,-1.714,-8.01
42.2,166.738,-1.714,-8.01
42.381,167.469,-1.714,-8.01
42.4,165.384,-5.518,-6.31
42.401,165.384,-5.518,-6.31
42.582,166.348,-5.518,-6.31
42.6,166.348,-5.518,-6.31
42.611,162.557,-12.617,-3.901
42.781,163.226,-12.617,-3.901
42.8,163.226,-12.617,-3.901
42.822,161.534,-17.676,-4.044
42.981,161.659,-17.676,-4.044
43,161.659,-17.676,-4.044
43.034,167.599,-18.709,-11.079
43.181,167.257,-18.709,-11.079
43.201,167.257,-18.709,-11.079
43.246,168.613,-20.304,-13.058
43.381,168.135,-20.304,-13.058
43.401,168.135,-20.304,-13.058
43.458,162.721,-27.339,-9.679
43.581,162.921,-27.339,-9.679
43.6,162.921,-27.339,-9.679
43.669,167.459,-18.002,-11.953
43.781,166.417,-18.002,-11.953
43.8,166.417,-18.002,-11.953
43.883,169.928,-13.947,-16.513
43.982,168.177,-13.947,-16.513
44,168.177,-13.947,-16.513
44.092,168.105,-11.067,-15.53
44.181,166.86,-11.067,-15.53
44.2,166.86,-11.067,-15.53
44.305,161.548,-16,-7.472
44.381,161.06,-16,-7.472
44.4,161.06,-16,-7.472
44.516,160.063,-19.267,-7.398
44.58,159.949,-19.267,-7.398
44.601,159.949,-19.267,-7.398
44.728,164.716,-15.44,-14.438
44.781,164.683,-15.44,-14.438
44.8,164.683,-15.44,-14.438
44.94,164.932,-9.344,-12.532
44.981,164.815,-9.344,-12.532
45,164.815,-9.344,-12.532
45.152,165.278,-4.752,-11.862
45.181,165.051,-4.752,-11.862
45.2,165.051,-4.752,-11.862
45.363,165.555,-3.458,-12.337
45.381,165.755,-3.458,-12.337
45.4,165.755,-3.458,-12.337
45.576,164.131,-6.397,-10.641
45.58,164.719,-6.397,-10.641
45.6,164.719,-6.397,-10.641
45.781,164.87,-6.397,-10.641
45.786,164.123,-11.857,-11.428
45.8,164.123,-11.857,-11.428
45.981,163.688,-11.857,-11.428
45.998,163.484,-11.92,-11.173
46,163.484,-11.92,-11.173
46.181,163.186,-11.92,-11.173
46.2,163.186,-11.92,-11.173
46.21,162.589,-11.047,-10.024
46.381,162.689,-11.047,-10.024
46.401,162.689,-11.047,-10.024
46.421,163.288,-9.541,-10.245
46.581,163.536,-9.541,-10.245
46.6,163.536,-9.541,-10.245
46.634,162.012,-9.251,-8.045
46.781,162.502,-9.251,-8.045
46.8,162.502,-9.251,-8.045
46.845,161.016,-7.173,-5.023
46.982,161.465,-7.173,-5.023
47.001,161.465,-7.173,-5.023
47.057,165.31,0.425,-8.417
47.181,165.514,0.425,-8.417
47.2,165.514,0.425,-8.417
47.269,166.485,-2.029,-10.457
47.381,166.464,-2.029,-10.457
47.4,166.464,-2.029,-10.457
47.48,165.75,-3.089,-9.775
47.581,166.236,-3.089,-9.775
47.601,166.236,-3.089,-9.775
47.692,163.622,-5.334,-7.043
47.78,164.673,-5.334,-7.043
47.8,164.673,-5.334,-7.043
47.904,162.367,-17.602,-8.878
47.982,163.867,-17.602,-8.878
48,163.867,-17.602,-8.878
48.115,164.154,-18.946,-9.744
48.181,165.243,-18.946,-9.744
48.2,165.243,-18.946,-9.744
48.327,172.859,-14.73,-17.354
48.381,172.279,-14.73,-17.354
48.4,172.279,-14.73,-17.354
48.539,179.536,-10.731,-25.725
48.581,177.781,-10.731,-25.725
48.6,177.781,-10.731,-25.725
48.752,172.946,-7.869,-19.183
48.781,171.854,-7.869,-19.183
48.8,171.854,-7.869,-19.183
48.963,170.314,-11.582,-17.755
48.98,169.66,-11.582,-17.755
49,169.66,-11.582,-17.755
49.175,169.995,-15.398,-19.191
49.182,168.582,-15.398,-19.191
49.2,168.582,-15.398,-19.191
49.382,166.573,-15.398,-19.191
49.386,167.63,-18,-21.724
49.4,167.63,-18,-21.724
49.582,165.796,-18,-21.724
49.597,165.624,-15.91,-20.67
49.6,165.624,-15.91,-20.67
49.782,164.474,-15.91,-20.67
49.801,164.474,-15.91,-20.67
49.808,161.971,-16.957,-17.25
49.982,162.491,-16.957,-17.25
50.001,162.491,-16.957,-17.25
50.021,158.164,-21.821,-12.667
50.181,159.984,-21.821,-12.667
50.202,159.984,-21.821,-12.667
50.232,161.157,-25.364,-17.161
50.381,161.898,-25.364,-17.161
50.401,161.898,-25.364,-17.161
50.444,165.976,-24.107,-23.629
50.581,165.898,-24.107,-23.629
50.6,165.898,-24.107,-23.629
50.656,163.312,-30.232,-22.488
50.781,163.778,-30.232,-22.488
50.8,163.778,-30.232,-22.488
50.868,163.243,-29.12,-20.693
50.981,164.358,-29.12,-20.693
51,164.358,-29.12,-20.693
51.08,161.72,-41.169,-25.089
51.18,156.916,-41.169,-25.089
51.264,156.916,-41.169,-25.089
51.291,162.796,-32.037,-31.981
51.384,162.206,-32.037,-31.981
51.463,162.206,-32.037,-31.981
51.503,162.589,-27.664,-28.803
51.584,161.19,-27.664,-28.803
51.664,161.19,-27.664,-28.803
51.714,161.343,-21.132,-22.102
51.785,160.133,-21.132,-22.102
51.863,160.133,-21.132,-22.102
51.928,158.252,-26.002,-17.369
51.977,157.044,-26.002,-17.369
52.063,157.044,-26.002,-17.369
52.138,159.604,-13.019,-16.993
52.178,158.671,-13.019,-16.993
52.263,158.671,-13.019,-16.993
52.35,159.37,-4.043,-14.563
52.38,158.218,-4.043,-14.563
52.463,158.218,-4.043,-14.563
52.561,157.543,-6.434,-12.845
52.583,155.812,-6.434,-12.845
52.663,155.812,-6.434,-12.845
52.773,155.383,-5.575,-10.787
52.783,154.226,-5.575,-10.787
52.864,154.226,-5.575,-10.787
52.985,147.345,-21.233,-2.554
